Timestamp,Did the training meet your expectations?  ,Which of your expectation(s) was met?,Which of your expectation(s) was not met?,"Which session(s) did you appreciate more, in relation to how they were applied in Foundation, Basic, Intermediate & Advanced levels",Any other session not listed above that you also appreciated,Was the training session interactive and engaging? ,"On scale 1 to 5, how easy is to access & navigate the Smart Academy Portal? 

(Where 1 is extremely hard to navigate and 5 extremely easy to navigate)",Any recommendation on how to improve the Smart Academy portal?,What are some of the new skills/knowledge acquired during the training?,"Kindly rate the professionalism and preparedness of the facilitators 

( With 1 - not prepared and less profession and 5 - well prepared and very professional)",Any other general feedback,"Rate the venue of the training ( Cleanliness, food & Security)

(1 - Worst,  5- Best)"
2024/01/19 3:42:16 PM GMT+3,Yes,Content delivery,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,None,Yes,3,Easy of use for novice tech users,Content delivery ,5,,5
2024/01/19 3:42:39 PM GMT+3,Yes,Training guidelines ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Feeding program,Yes,4,Integration of the smart academy with institutions account ,Presentation skills,5,,5
2024/01/19 3:42:39 PM GMT+3,Yes,Yes,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Incorporation of AI ,Yes,5,Improve on time table n schedule,How to make an effective communication,5,No,5
2024/01/19 3:43:16 PM GMT+3,Yes,None,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Presentations ,Yes,3,Ensure confidentiality in users details,Gamma.app,4,The session was good,5
2024/01/19 3:43:17 PM GMT+3,No,,There were no expectations set,Learning Principles;Facilitation and communication;Evaluation & Feedback,Cyber security ,Yes,2,Allow manual upload of trainees who cannot register ,Lesson plan,4,None,3
2024/01/19 3:43:28 PM GMT+3,Yes,Successful TOT Program,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Cybersecurity ,Yes,4,More User Friendly ,Better ToT ,5,It was a good program ,5
2024/01/19 3:43:39 PM GMT+3,Yes,"How to prepare for the training, or training materials etc",,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,No,Yes,4,Have scheduling on the trainer's side and not on the trainee's side,Proper preparation of learning material,5,,5
2024/01/19 3:43:43 PM GMT+3,Yes,Lesson plan. How to deliver content,,Learning Principles;Facilitation and communication;Assessment & Evaluation,Use of AI,Yes,4,To offer curriculum prior,Use of AI,4,,5
2024/01/19 3:44:47 PM GMT+3,Yes,Understanding the structure and implementation matrix ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,No,Yes,5,Let's build first then improve later ,Teaching computer pedagogy ,5,,4
2024/01/19 3:44:51 PM GMT+3,Yes,Program training and assessment ,,Assessment & Evaluation,Cybersecurity ,Yes,3,Good ,Assessment framework development ,5,None,4
2024/01/19 3:45:06 PM GMT+3,Yes,How to use the smartacademy system ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Cyber security ,Yes,4,Work on the user interface ,Yes ,4,Wonderful training ,5
2024/01/19 3:45:51 PM GMT+3,Yes,Training outscomes achieved,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Evaluation,Yes,5,No,ChatGPT,4,Very proffessional facilitators,5
2024/01/19 3:46:05 PM GMT+3,Yes,Meaning of Training and Theories of Traing ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Theories of Training ,Yes,4,"The System should be user friendly, flexibility, scalable, interactive, ",Training Methods,4,N/A,3
2024/01/19 3:48:36 PM GMT+3,Yes,having clear content that will help me deliver the programme to our learning istututions ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,cyber security ,Yes,3,have easy access routines,handling the partcipant and how to facillite without making it hard for the learners and moreso so setting clear session objective,5,may this platform be found now and so as to be equip with more knowldge,5
2024/01/19 3:52:12 PM GMT+3,Yes,Digital skills for all sectors of the economy ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Yes,Yes,3,Interoperability lacking in the system ,Grammar AI skills ,3,No,4
2024/01/19 3:52:13 PM GMT+3,Yes,"Different levels of training (Foundation, Basic, Intermediate, Advanced) well trained by the Trainers, Artificial Intelligence for SDGs well demonstrated, Cyber Security well explained, Concept Maps well defined, preparation of training materials for Instructors and Students well explained, smartacademy.go.ke well explained; pending issues to be addressed by the developers.",,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Artificial Intelligence for SDGs,Yes,4,Issues to be addressed by the developers.,"Preparation of Training Materials for Instructors and Students, Concept Maps, Artificial Intelligence Implementation, Cyber Security.",5,More practical trainings to take place to empower trainers.,5
2024/01/19 3:52:33 PM GMT+3,Yes,Learn how to teach different groups of people with different academic backgrounds,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Lesson planning,Yes,4,n/a,Lesson Management,5,,5
2024/01/19 3:54:32 PM GMT+3,Yes,To be able to present content to students accurately ,,Learning Principles,No,Yes,2,It is ok,New ways of examinening learners ,1,Personally I enjoyed everything including the meals ,2
2024/01/19 3:54:45 PM GMT+3,Yes,"content matterial, delivery, timelines and targets for the program ",,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,"use of AI for training, Cybersecurity",Yes,4,input templates for reports and feedback and comment section ,"use of AI for training, cybersecurity ",4,"appreciative of all the content and materials delivered, great experience and learned skills beneficial for training ",5
2024/01/19 4:04:10 PM GMT+3,Yes,None,,Learning Principles;Facilitation and communication;Assessment & Evaluation,None,Yes,3,More user to be engaged to test the system,"Use of AI, cybercrime",4,Regular interaction with all the lead trainers,5
2024/01/19 4:04:20 PM GMT+3,Yes,How to train those in the insitution,,Learning Principles,Meals,Yes,3,NA,Scaffolding,4,Facilitators should indulge more the topics like the work plan and cyber security presentations of Thursday,5
2024/01/19 4:05:52 PM GMT+3,Yes,ToT teaching and assesment skills,,Assessment & Evaluation,none,Yes,5,"offline access, without internet",powerpoint presentation,5,God Bless you,5
2024/01/19 4:11:50 PM GMT+3,Yes,the training was at its level best,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,governance structure,Yes,5,"improve on site accessibility, login in, registration",project management skills,5,i thank you for the training and the impact that it is to the community,5
2024/01/19 4:12:19 PM GMT+3,No,,The deliverables and outcomes and impacts of the training were not well articulated ,Learning Principles,Training computation ,Yes,4,None,Lesson plans ,4,,3
2024/01/19 4:13:47 PM GMT+3,Yes,"Deliverables, Content creation ideas",,Learning Principles;Facilitation and communication,Cybersecurity ,Yes,5,Validation of data ie date of birth is accepting 19/1/2024,Digital skills ,4,Remember to share all the materials necessary ,4
2024/01/19 4:14:46 PM GMT+3,Yes,Enlightened on many aspects. Thank you team. We look forward to having another training soon to update each other ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,CYBER SECURITY,Yes,4,Improve on coordinators and TOT portal,"CYBER security, advanced digital skills",4,Wonderful training session. Keep it up,5
2024/01/19 4:15:34 PM GMT+3,Yes,Training ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,training ,Yes,5,None,Preparation of teaching materials ,4,None,5
2024/01/19 4:16:59 PM GMT+3,Yes,Learning how to tailor the training to different groups. ,,Facilitation and communication;Assessment & Evaluation,N/A,Yes,3,Minimize permissions according to the job task/position.,Cybersecurity,4,,5
2024/01/19 4:17:39 PM GMT+3,Yes,How to deliver this trainings ,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,N/A,Yes,4,Try to improve ,Ways of delivery ,5,N/A,5
2024/01/19 4:18:34 PM GMT+3,Yes,Preparation of training materials ,,Facilitation and communication;Assessment & Evaluation,Use of digital platforms to create content ,Yes,3,Include bulk registrations for cases where huge participants are involved ,Increasing productivity using AI,4,,4
2024/01/19 4:18:47 PM GMT+3,Yes,Learning the different levels in digital programs ,,Assessment & Evaluation,Communication ,Yes,4,N/A,Cyber security ,5,N/A,4
2024/01/19 4:19:30 PM GMT+3,Yes,Portal navigation and training coordination ,,Learning Principles,Coordination ,Yes,3,Less registration fields,Pre-training ,4,,4
