Timestamp,meet_expectation,group_met_expectation,expectations_met,expectations_not_met,sessions_appreciated,sessions_also_appreciated,group_appreciated_sessions,was_interactive,smartAcademy_access,smartAcademy_recommendations,group_smartAcademy_recommendations,new_skill_learned,skills_learnt,facilitators_professionalism,general_feedback,feedback_categories,venue_ratings
2024/01/19 3:42:16 PM GMT+3,Yes,Training Program Design and Implementation,Content delivery,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,,,Yes,3,Easy of use for novice tech users,Usability and User Interface,Content delivery,Teaching & Insructional,5,,,5
2024/01/19 3:42:39 PM GMT+3,Yes,Training Program Design and Implementation,Training guidelines,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Feeding program,Miscellaneous. ,Yes,4,Integration of the smart academy with institutions account,Integration and Accessibility,Presentation skills,Teaching & Insructional,5,,,5
2024/01/19 3:42:39 PM GMT+3,Yes,Miscellaneous,Yes,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Incorporation of AI,AI Integration,Yes,5,Improve on time table n schedule,,How to make an effective communication,Teaching & Insructional,5,,,5
2024/01/19 3:43:16 PM GMT+3,Yes,,,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Presentations,Communication and Coordination,Yes,3,Ensure confidentiality in users details,Data Management and Validation,Gamma.app,Use of AI,4,The session was good,Positive Feedback,5
2024/01/19 3:43:17 PM GMT+3,No,,,There were no expectations set,Learning Principles;Facilitation and communication;Evaluation & Feedback,Cybersecurity,Cybersecurity,Yes,2,Allow manual upload of trainees who cannot register,Registration and Enrollment,Lesson plan,Teaching & Insructional,4,,,3
2024/01/19 3:43:28 PM GMT+3,Yes,Training Program Design and Implementation,Successful TOT Program,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,Cybersecurity,Cybersecurity,Yes,4,More User Friendly,Usability and User Interface,Better ToT,Teaching & Insructional,5,It was a good program,Positive Feedback,5
2024/01/19 3:43:39 PM GMT+3,Yes,Training Program Design and Implementation,"How to prepare for the training, or training materials etc",,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,No,Miscellanous,Yes,4,Have scheduling on the trainer's side and not on the trainee's side,,Proper preparation of learning material,Teaching & Insructional,5,,,5
2024/01/19 3:43:43 PM GMT+3,Yes,Training Program Design and Implementation,Lesson plan. How to deliver content,,Learning Principles;Facilitation and communication;Assessment & Evaluation,Use of AI,AI Integration,Yes,4,To offer curriculum prior,,Use of AI,Use of AI,4,,,5
2024/01/19 3:44:47 PM GMT+3,Yes,Training Program Design and Implementation,Understanding the structure and implementation matrix,,Learning Principles;Facilitation and communication;Assessment & Evaluation;Evaluation & Feedback,No,Miscellanous,Yes,5,Let's build first then improve later,Miscellaneous,Teaching computer pedagogy,Teaching & Insructional,5,,,4
2024/01/19 3:44:51 PM GMT+3,Yes,Training Program Design and Implementation,Program training and assessment,,Assessment & Evaluation,Cybersecurity,Cybersecurity,Yes,3,Good,Miscellaneous,Assessment framework development,Teaching & Insructional,5,,,4
