expectations,expectations_category,mayNot_be_covered,info_area,areas_mayNot_be_covered,improvements,areas_of_improvement
Be able to implement the trained area in leaning and training,Training Implementation and Delivery,No,,,You should be more practical rather than theoritical,Curriculumn
To understand the content of the curriculum,Program Understanding and Development,No,,,Let's discuss the curriculum first then pedagogy sessions,Curriculumn
To learn and know how to interact with the students in the most simple way,Training Implementation and Delivery,Yes,Curriculum,Curriculum Development,Time management,Time management
Learn the best methodology to conduct training for my students,Training Implementation and Delivery,No,,,make the training more interractive and include practical sessions,Participant Engagement
Understand the requirements to establish training center and materials,Program Understanding and Development,Yes,Platform used to run the program,Platform and Program Execution,Time management,Time management
Delivery methods for these courses developed for the citizens,Training Implementation and Delivery,Yes,Learning theories were well articulated by the facilitator. The relationship between the theories and the teaching was greatly explained,,Time management is key and should be adhered to,Time management
To acquire knowledge and strategies needed to ensure smooth learning of my trainees. How to conduct the trainings,Training Implementation and Delivery,No,,,None at the moment.,Others
Gain skills and knowledge to be able to get and train the trainees,Skill Acquisition and Application,No,,,I can answer this after training,Others
Share the materials used during the training,Training Implementation and Delivery,Yes,"Learning principals, facilitation and communications",Curriculum Development,Timely uploading the facilitors too immediately after presentation,Logistics and planning
Get equipped to facilitate the citizens digital skills training and to pass on the necessary skills to other trainers for the program,Skill Acquisition and Application,No,,,Time,Time management
Learn how to develop learning tools such as training plan,Program Understanding and Development,No,,,Increase sensitizations of digital skills program in the mainstream media,Others
I expect to gain practical training skills in the ICT domain,Expectations and Overall Program Goals,No,,,Timem management,Time management
Go back acquired enough skills to impart skills to our clients,Expectations and Overall Program Goals,No,,,Send the slides for notes,Logistics and planning
To understand the modules of the programm,Program Understanding and Development,No,,,Make the sessions abit long,Curriculumn
"Acquire skills, methodology and linkages to facilitate cascaded training on digital skilling.",Skill Acquisition and Application,Yes,Demonstration of value addition of the digital skills and commercialization platforms,Curriculum Development,Interractivity. Learner feedback and participation at the end of each session as opposed to lecture method,Participant Engagement
"To become an effective and skillful agent of digital transformation in my country and community. Besides, I want to network and learn from the experts in this field.",Networking and Professional Development,No,,,Currently i am enjoying,Others
Understand the app,Program Understanding and Development,No,,,Allocate more time,Curriculumn
To learn adult learning methods,Training Implementation and Delivery,No,,,Add icebreaker,Participant Engagement
Learn how to deliver the digital training,Training Implementation and Delivery,No,,,Manage time and not rush through the content,Time management
Great,Expectations and Overall Program Goals,Yes,Best,,Food,Others
Understand roles.and reaponsibities during program.rollout and emerging challenges,Training Implementation and Delivery,Yes,Please assit trainers how they will handle inclusivity and accessibility,Inclusivity and Accessibility,Feedback expected by the government,Others
To learn more about the curriculum and the expected outcomes and possible strategies for implementation.,Program Understanding and Development,No,,,A lot of the planning and logistics were really great congratulations to the planning team. Just improve on time management.Time management to inorder to maximize the learning experiences. And engage actively.,Time management
To learn learn and be able roll out the Digital skills program,Program Understanding and Development,No,,,Time Management,Time management
That will get knowledge useful in training digital skills of this program,Skill Acquisition and Application,No,,,everything is running as per expectations,Others
To learn how to tailor the course content and learning material to different adult groups.,Program Understanding and Development,No,,,,
Gain knowledge and skills on how to handle learners of different and all callibers,Skill Acquisition and Application,Yes,Focus more on the practical sessions,Platform and Program Execution,Give more of practical sessions,Curriculumn
To understand how to deliver it,Training Implementation and Delivery,No,,,More practical part,Curriculumn
to leave place equiped and ready to train,Expectations and Overall Program Goals,No,,,you are doing good,Others
To gain more knowledge of ICT and also on how to come up with a clear content,Expectations and Overall Program Goals,No,,,We balance time for all sessions but so far Soo good,Time Management
Productive ToT training,Skill Acquisition and Application,Yes,Curriculum,Curriculum Development,Presenters to share their ppt afterwards,Logistics and planning
Be well equipped with knowledge and skills on digital skills,Skill Acquisition and Application,No,,,More practical,Curriculumn
Best way to deliver this program,Training Implementation and Delivery,No,,,So far so good for now. Excellent job.,Others
Content delivery,Expectations and Overall Program Goals,No,,,Practcum,Curriculumn
To come up with a clear content on how to deliver the program,Program Understanding and Development,No,,,Time management,Time Management
